name,address,year
"Wang, YY","Wellmark Blue Cross & Blue Shield, Des Moines, IA USA",2005
"Wang, YY","Univ Chicago, Natl Opin Res Ctr, Chicago, IL 60637 USA",2005
"Zhou, W.","Deakin Univ, Sch Informat Technol, Pigdons Rd, Geelong, Vic 3217, Australia",2005
"Kang, Soo K.","Colorado State Univ, Dept Food Sci & Human Nutr, Restaurant & Resort Management, Ft Collins, CO 80523 USA",2005
"Guan, JM","Calif State Univ Los Angeles, Sch Kinesiol & Nutr Sci, Los Angeles, CA 90032 USA",2005
"Guan, JM","Univ Texas, Dept Hlth & Kinesiol, San Antonio, TX 78285 USA",2005
"Guan, JM","Univ Cadiz, Cadiz, Spain",2005
"Hui, YJ","Gallaudet Univ, Dept Educ, Washington, DC 20002 USA",2005
"Hui, YJ","St Cloud State Univ, Dept Special Educ, St Cloud, MN 56301 USA",2005
"Zhang, Dalun","Texas A&M Univ, Dept Educ Psychol, College Stn, TX 77843 USA",2005
"Chen, WH","Amer Inst Res, Washington, DC 20007 USA",2005
"Wei, MF","Iowa State Univ, Dept Psychol, Ames, IA 50011 USA",2005
"Du, YZ","USN Acad, Dept Elect Engn, Annapolis, MD 21402 USA",2005
"Du, YZ","Indiana Univ Purdue Univ, Purdue Sch Engn & Technol, Indianapolis, IN 46224 USA",2005
"Wei, MF","Univ Missouri, Dept Educ Sch & Counseling Psychol, Columbia, MO 65211 USA",2005
"Yao, Y. Lawrence","Columbia Univ, Dept Mech Engn, New York, NY USA",2005
"Cheng, Gary J.","Washington State Univ, Sch Mech & Mat Engn, Pullman, WA 99164 USA",2005
"Zhang, Wenwu","GE Global Res, Niskayuna, NY USA",2005
"Wang, M","Univ Maryland, Dept Human Dev, College Pk, MD 20742 USA",2005
"Wang, M","Carnegie Mellon Univ, Dept Modern Languages, Pittsburgh, PA 15213 USA",2005
"Leng, Ng Wee","Nanyang Technol Univ, Natl Inst Educ, Math & Math Educ Acad Grp, Singapore, Singapore",2005
"Sun, Yap Yew","Hwa Chong Jr Coll, Singapore, Singapore",2005
"Chao, Kuo-Ming","Coventry Univ, London, England",2005
"Ding, CS","Univ Missouri, Columbia, MO 65211 USA",2005
"Ding, CS","Univ Minnesota, Minneapolis, MN 55455 USA",2005
"Hu, Bo","Oklahoma State Univ, Sch Hotel & Restaurant Adm, Stillwater, OK 74078 USA",2005
"Chen, CS","Univ Calif Irvine, Dept Psychol & Social Behav, Irvine, CA 92717 USA",2005
"Dong, Q","Univ Calif Irvine, Dept Psychol & Social Behav, Irvine, CA 92717 USA",2005
"Xue, G","Univ Calif Irvine, Dept Psychol & Social Behav, Irvine, CA 92717 USA",2005
"Chang, F","Univ N Carolina, Natl Ctr Early Dev & Learning, FPG Child Dev Inst, Chapel Hill, NC 27599 USA",2005
"Tan, Grace","Victoria Univ, Melbourne, Australia",2005
"Chen, Sherry Y.","Brunel Univ, Dept Informat Syst & Comp, Uxbridge, Middx, England",2005
"Yuan, M","Univ Michigan, Dept Internal Med, Div Hematol Oncol, Ann Arbor, MI 48109 USA",2005
"Yuan, M","Univ Michigan, Dept Biostat, Div Hematol Oncol, Ann Arbor, MI 48109 USA",2005
"Li, Xin","Calif State Univ Long Beach, 1250 Bellflower Blvd, Long Beach, CA 90840 USA",2005
"Chen, Irene","Univ Houston Downtown, Dept Urban Educ, Houston, TX 77002 USA",2005
"Cheng, C","Thomas Jefferson Univ Hosp, Dept Family Med, Philadelphia, PA 19107 USA",2005
"Wang, Gabe","William Paterson Univ, Sociol, Wayne, NJ USA",2005
"Liu, LQ","Texas A&M Univ, Private Enterprise Res Ctr, College Stn, TX 77843 USA",2005
"Su, J","Univ Minnesota, Dept Psychol, Minneapolis, MN 55455 USA",2005
"Wang, Yu-Mei","Univ Alabama Birmingham, Sch Educ, Instruct Technol, Birmingham, AL USA",2005
"Lai, FC","Univ Oklahoma, Sch Aerosp & Mech Engn, Norman, OK 73019 USA",2005
"Gao, Y","Univ Illinois, Dept Civil & Environm Engn, Urbana, IL 61801 USA",2005
"Yang, G","Univ Illinois, Dept Civil & Environm Engn, Urbana, IL 61801 USA",2005
"Gao, Y","SUNY Buffalo, Dept Civil Struct & Environm Engn, Buffalo, NY 14260 USA",2005
"Yang, G","SUNY Buffalo, Dept Civil Struct & Environm Engn, Buffalo, NY 14260 USA",2005
"Su, Bude","Indiana Univ, Instruct Syst Technol, Bloomington, IN 47405 USA",2005
"Su, Bude","Indiana Univ, Sch Educ, Bloomington, IN 47405 USA",2005
"Liang, CTH","Univ Maryland, Coll Educ, Dept Counseling & Personnel Serv, Counseling Psychol Program, College Pk, MD 20742 USA",2005
"Liang, CTH","Univ Maryland, Coll Educ, Dept Counseling & Personnel Serv, Coll Student Personnel Program, College Pk, MD 20742 USA",2005
"Hong, SH","Ewha Womans Univ, Dept Psychol, Seoul 120750, South Korea",2005
"Hong, SH","Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA",2005
"Zhang, L","Cornell Univ, Sch Ind & Labor Relat, Ithaca, NY 14853 USA",2005
"Chen, YQ","Utah State Univ, Dept Elect & Comp Engn, Logan, UT 84322 USA",2005
"Chen, ZY","Mt St Marys Univ, Dept Sci, Emmitsburg, MD 21727 USA",2005
"Chen, ZY","Sci Applicat Int Corp, Mclean, VA 22102 USA",2005
"Mi, CT","Univ Michigan, Dept Elect & Comp Engn, Dearborn, MI 48128 USA",2005
"Shen, ZJ","Univ Michigan, Dept Elect & Comp Engn, Dearborn, MI 48128 USA",2005
"Mi, CT","Univ Michigan, Coll Engn & Comp Sci, Dearborn, MI 48128 USA",2005
"Shen, ZJ","Univ Michigan, Coll Engn & Comp Sci, Dearborn, MI 48128 USA",2005
"Le, H","ACT Inc, Iowa City, IA 52243 USA",2005
"Le, H","Univ Iowa, Iowa City, IA 52242 USA",2005
"Zhang, L","Univ Georgia, Inst Higher Educ, Athens, GA 30602 USA",2005
"Zhang, L","Cornell Univ, Sch Ind & Labor Relat, Ithaca, NY 14850 USA",2005
"Tan, KK","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Wang, KN","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Tan, ES","Univ Melbourne, Fac Med Dent & Hlth Sci, Parkville, Vic 3052, Australia",2005
"Zhao, CM","Carnegie Fdn Adv Teaching, Stanford, CA USA",2005
"Zhao, CM","Univ Louisville, Dept Sociol, Louisville, KY 40292 USA",2005
"Zhao, CM","Indiana Univ, Ctr Postsecondary Res, Bloomington, IN USA",2005
"Wu, Sz-Shyan","Univ Georgia, Inst Higher Educ, 202 Meigs Hall, Athens, GA 30602 USA",2005
"Chen, Linda","Indiana Univ, Dept Polit Sci, South Bend, IN 46615 USA",2005
"Wang, Danhua","St Louis Community Coll, Reading, St Louis, MO 63102 USA",2005
"Zhao, CM","Indiana Univ, Natl Survey Student Engagement, Bloomington, IN USA",2005
"Zhao, CM","Univ Louisville, Louisville, KY 40292 USA",2005
"Long, M","Starbourne, Addlestone KT15 2RX, Surrey, England",2005
"Tan, Grace","Victoria Univ, Melbourne, Australia",2006
"Wu, Henry","Coll Phys & Surg Ontario, Qual Management Div, Res & Evaluat Dept, Toronto, ON M5G 2E2, Canada",2006
"Wu, Henry","Univ Toronto, Dept Hlth Policy Management & Evaluat, Toronto, ON, Canada",2006
"Wu, Henry","Univ Ottawa, Fac Med, Dept Family Med, Ottawa, ON K1N 6N5, Canada",2006
"Wang, D","Drexel Univ, Coll Med, Philadelphia, PA 19129 USA",2006
"Wang, D","Drexel Univ, Coll Med, Standardized Patient Program, Philadelphia, PA 19129 USA",2006
"Wang, D","Univ New Mexico, Sch Med, Dept Psychiat, Albuquerque, NM 87131 USA",2006
"Wang, D","Univ N Carolina, Sch Med, Dept Med, Chapel Hill, NC USA",2006
"Wang, D","Greater Los Angeles Vet Adm Med Ctr, Los Angeles, CA USA",2006
"Wang, D","Univ Calif Los Angeles, Dept Med, David Geffen Sch Med, Los Angeles, CA 90024 USA",2006
"Wu, L.","Kings Coll London, Florence Nightingale Sch Nursing & Midwifery, London SE1 8WA, England",2006
