Article_ID	WOS_ID	Year	Title	Authors	Addresses	Affiliations
193963	WOS:001265420200002	2024	Simultaneous Effects of Linguistic Knowledge and Topic Familiarity on L2 Writing of Vietnamese Upper-Secondary School Students: A Simple SEM Model	Bo, LK; Le, ANN	[Le, Anh N. N.] Ho Chi Minh City Univ Educ, Ho Chi Minh City, Vietnam; [Bo, Linh K.] Univ Lancaster, Lancaster, England	Lancaster University
196632	WOS:000936408900001	2024	K-12 Computer Science Teaching Strategies, Challenges, and Teachers' Professional Development Opportunities and Needs	Zhu, MA; Wang, C	[Zhu, Meina] Wayne State Univ, Learning Design & Technol, Detroit, MI USA; [Wang, Cheng] Wayne State Univ, Dept Sociol, Detroit, MI USA; [Zhu, Meina] Wayne State Univ, Learning Design & Technol, 365 Educ Bldg,5425 Gullen Mall, Detroit, MI 48202 USA	Wayne State University; Wayne State University; Wayne State University
196682	WOS:001346677000001	2024	Need-Based Promise Programs, Performance Funding Bonuses, and the Enrollment of Low-Income Students	Li, AY; Liu, YE	[Li, Amy Y.; Liu, Yimeng] Florida Int Univ, Ziff Educ Bldg ZEB,Rm 364-B,11200 SW 8th St, Miami, FL 33199 USA	State University System of Florida; Florida International University
196795	WOS:001181213000001	2024	Degrees of Return: Estimating Internal Rates of Return for College Majors Using Quantile Regression	Zhang, L; Liu, XM; Hu, YT	[Zhang, Liang] New York Univ Steinhardt Sch Culture Educ & Human, Dept Adm Leadership & Technol, 82 Washington Sq East,7thFloor, New York, NY 10003 USA; [Liu, Xiangmin] Rutgers State Univ, Sch Management & Lab Relat, New Brunswick, NJ USA; [Hu, Yitong] New York Univ, Higher Educ Program, New York, NY USA	New York University
197012	WOS:001334795100013	2024	Guest editorial: Educational design research for digital learning technologies to promote inclusion, equity, and accessibility	Ge, X; Liu, JC; Li, Z	[Ge, Xun] Univ Northern Texas, Denton, TX 76205 USA; [Liu, Juhong Christie] James Madison Univ, Harrisonburg, VA USA; [Li, Zhe] Osaka Univ, Suita, Japan	University of North Texas System; University of North Texas Denton; James Madison University; The University of Osaka
197449	WOS:001416000800001	2024	Exploring Experiences of Chinese Students Studying at U.S. Universities Since COVID-19	Xie, LD; Xu, YY	[Xie, Lindai; Xu, Yaoying] Virginia Commonwealth Univ, Richmond, VA 23284 USA	Virginia Commonwealth University
203802	WOS:000207539300006	1997	IOMCS Project-A University/Industry/Government R&D Partnership Program	Rao, M; Xia, Q	[Rao, M.; Xia, Q.] Univ Alberta, Dept Chem Engn, Edmonton, AB T6G 2G6, Canada	University of Alberta
204494	WOS:000075977500001	1998	Effects of potential confounding factors on fit indices and parameter estimates for true and misspecified SEM models	Fan, XT; Wang, L	Utah State Univ, Dept Psychol, Logan, UT 84322 USA; Amer Coll Testing, Iowa City, IA USA	Utah System of Higher Education; Utah State University; ACT Inc.
207267	WOS:000087593300001	2000	Factors related to university presidents' pay: An examination of private colleges and universities	Tang, TLP; Tang, DSH; Tang, CSY	Middle Tennessee State Univ, Coll Business, Dept Management & Mkt, Murfreesboro, TN 37132 USA; Harvard Univ, Cambridge, MA 02138 USA	Middle Tennessee State University; Harvard University
207312	WOS:000085913000003	2000	Rapid prototyping system for teaching real-time digital signal processing	Gan, WS; Chong, YK; Gong, W; Tan, WT	Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore 2263, Singapore	Nanyang Technological University
208426	WOS:000172130600002	2001	Revisiting the assumptions for inferential statistical analyses: A conceptual guide	Chen, A; Zhu, WM	Univ Maryland, Dept Kinesiol, College Pk, MD 20742 USA; Univ Illinois, Dept Kinesiol, Urbana, IL 61801 USA	University System of Maryland; University of Maryland College Park; University of Illinois System; University of Illinois Urbana-Champaign
210310	WOS:000178295400014	2002	Fluid mechanics: An essential part of an environmental engineering curriculum	Cheng, AHD; Liu, CCK; Shen, H; Teng, MH; Wang, KH	Clarkson Univ, Dept Civil & Environm Engn, Potsdam, NY 13699 USA; Univ Hawaii Manoa, Dept Civil Engn, Honolulu, HI 96822 USA; Univ Mississippi, Dept Civil Engn, University, MS 38677 USA; Univ Houston, Dept Civil & Environm Engn, Houston, TX 77204 USA	Clarkson University; University of Hawaii System; University of Hawaii Manoa; University of Mississippi; University of Houston System; University of Houston
